"","Size","species"
"688","7.19999998807907","Psolus fabricii"
"689","7.19999998807907","Psolus phantapus"
"690","15","Pteraster militaris"
"691","19.5","Pteraster obscurus"
"692","19.5","Pteraster pulvillus"
"693","39","Pterodroma arminjoniana"
"694","3.8","Pterygioteuthis"
"695","9","Ptychogena lactea"
"696","53","Puffinus gravis"
"697","46","Puffinus griseus"
"698","38","Puffinus puffinus"
"699","165","Pusa hispida"
"700","1.09","Pycnogonum litorale"
"701","11","Radicipes gracilis"
"702","68.7999999306419","Raja bathyphila"
"703","68.7999999306419","Raja eglanteria"
"704","68.7999999306419","Raja garmani"
"705","60","Rajella fyllae"
"710","110","Reinhardtius hippoglossoides"
"711","50","Remora brachyptera"
"712","86.4000015258789","Remora remora"
"713","4","Reteporella grimaldii"
"714","4","Rhachotropis aculeata"
"715","140","Rhinochimaera atlantica"
"716","32","Rhodostethia rosea"
"718","11","Rondeletia loricata"
"719","7.0125","Rossia"
"720","48","Rouleina attrita"
"721","32","Rouleina maderensis"
"722","45","Rynchops niger"
"723","8","Sabinea sarsii"
"724","9","Sabinea septemcarinata"
"725","50","Saccorhiza dermatodea"
"726","150","Salmo salar"
"727","25","Saurida brasiliensis"
"728","3.6","Scaphander punctostriatus"
"729","10","Sclerasterias tanneri"
"730","6","Sclerocrangon boreas"
"733","60","Scomber scombrus"
"734","37.6666666666667","Scomberesox saurus saurus"
"735","12.6000003814697","Scopelarchus analis"
"736","7.30000019073486","Scopeloberyx robustus"
"737","10.1999998092651","Scopelogadus beanii"
"738","36.4000015258789","Scopelosaurus lepidus"
"739","45.7000007629395","Scophthalmus aquosus"
"740","48","Scyliorhinus retifer"
"741","46.9774000358582","Sebastes"
"742","10","Securiflustra securifrons"
"743","70","Selar crumenophthalmus"
"744","4.5","Sepioloidea"
"745","7","Sergia robusta"
"746","190","Seriola dumerili"
"747","11","Serripes groenlandicus"
"748","78","Serrivomer beanii"
"749","5","Sertularia polyzonias"
"750","31.3999996185303","Setarches guentheri"
"751","13","Siliqua"
"752","61","Simenchelys parasitica"
"753","2.5","Similipecten greenlandicus"
"754","40","Solaster endeca"
"755","6.7","Solemya borealis"
"758","427","Somniosus microcephalus"
"759","36","Sphoeroides maculatus"
"760","10","Spinolambrus pourtalesii"
"761","5.8","Spirontocaris fabricii"
"762","5.8","Spirontocaris liljeborgii"
"763","5.8","Spirontocaris phippsii"
"764","6","Spirontocaris spinus"
"765","20","Spisula solidissima"
"766","160","Squalus acanthias"
"767","250","Staurostoma mertensii"
"768","11.4","Stauroteuthis syrtensis"
"769","3.5","Stegocephalus inflatus"
"770","260","Stenella attenuata"
"771","200","Stenella clymene"
"772","260","Stenella coeruleoalba"
"773","230","Stenella frontalis"
"774","240","Stenella longirostris"
"775","280","Steno bredanensis"
"776","46","Stenotomus chrysops"
"777","3","Stephanasterias albula"
"778","5","Stephanauge"
"779","26.1","Stephanolepis hispidus"
"780","58","Stercorarius longicaudus"
"781","67","Stercorarius parasiticus"
"782","78","Stercorarius pomarinus"
"783","1.10000002384186","Stereoderma unisemita"
"784","3.1875","Stereomastis sculpta"
"785","38.75","Sterna antillarum"
"786","38.75","Sterna caspia"
"787","43","Sterna dougallii"
"788","41","Sterna forsteri"
"789","38.75","Sterna fuscata"
"790","38","Sterna hirundo"
"791","38.75","Sterna nilotica"
"792","38","Sterna paradisaea"
"793","5.5","Sternoptyx diaphana"
"794","22","Stichaeus punctatus"
"795","37.9640000343323","Stichaeus punctatus punctatus"
"796","28.6200000762939","Stomias boa ferox"
"797","12.5","Stomphia coccinea"
"798","9.25","Strongylocentrotus"
"799","7","Stylocordyla borealis"
"800","12","Symbolophorus veranyi"
"801","22","Symphurus diomedeanus"
"802","29","Synagrops bella"
"803","100","Synaphobranchus kaupii"
"804","33","Syngnathus fuscus"
"805","3","Syscenus infelix"
"806","2.5","Tachyrhynchus erosus"
"807","38","Tautogolabrus adspersus"
"808","10","Tealia felina"
"809","6.37857142857143","Tellina"
"810","5","Terebratulina septentrionalis"
"811","50","Teredo navalis"
"812","40","Teuthowenia megalops"
"813","256","Thalassarche chlororhynchos"
"814","15","Thuiaria thuja"
"815","140","Thunnus alalunga"
"816","250","Thunnus obesus"
"817","458","Thunnus thynnus"
"818","8","Thyonella pervicax"
"819","2.27833333333333","Thysanoessa longicaudata"
"820","2.5","Thysanoessa raschii"
"821","3.17249995470047","Tonicella"
"822","56.4400000572205","Torpedo nobiliana"
"823","37","Trachyrincus murrayi"
"824","15","Tremaster mirabilis"
"825","390","Trichechus manatus"
"826","21.4666666984558","Triglops"
"827","32","Trigonolampa miriceps"
"834","2","Tritia"
"836","380","Tursiops truncatus"
"837","40","Ulva"
"838","18","Ulvaria subbifurcata"
"839","25","Urasterias lincki"
"840","43","Uria aalge"
"841","48","Uria lomvia"
"842","61.9000000953674","Urophycis chesteri"
"843","66","Urophycis chuss"
"844","41","Urophycis regia"
"845","133","Urophycis tenuis"
"846","250","Ursus maritimus"
"847","17.9166666666667","Urticina felina"
"849","10","Vazella pourtalesi"
"850","4","Velutinidae"
"851","108.800003051758","Venefica procera"
"852","1","Venericardia borealis"
"853","5.5","Venus mercenaria"
"854","5.32000017166138","Vinciguerria nimbaria"
"855","25","Vomer setapinnis"
"856","4","Wimvadocus torelli"
"858","31","Xenodermichthys copei"
"859","15","Xenolepidichthys dalgleishi"
"860","455","Xiphias gladius"
"861","1.2","Xylophaga atlantica"
"862","2.55","Yoldia"
"863","63.6699994405111","Zenopsis ocellata"
"864","750","Ziphius cavirostris"
"865","110","Zoarces americanus"
"866","300","Zostera marina"
"119","42","Accipiter cooperii"
"210","53","Accipiter gentilis"
"310","28","Accipiter striatus"
"440","22","Agelaius phoeniceus"
"5","47","Aix sponsa"
"6","13","Ammodramus caudacutus"
"7","15","Ammodramus maritimus"
"828","71","Anser albifrons"
"910","76","Aquila chrysaetos"
"1010","24","Arenaria interpres"
